V1 t5 key=(0.9202659801461515, 0.8778651444835504) DU=8 n=48
V1 t4 key=(0.6375063224166188, 0.3184724906200123) DU=10 n=1
V1 t1 key=(0.4705415610291365, 0.38345047439724317) DU=8 n=42
V2 t0 key=(0.21104133230789257, 0.6259218491436391) DU=8 n=36
V1 t0 key=(0.21104133230789257, 0.6259218491436391) DU=8 n=50
V2 t3 key=(0.8646294530094565, 0.20961787264074377) DU=8 n=35
V1 t2 key=(0.36942560087868603, 0.7614664212679385) DU=8 n=40
V2 t4 key=(0.6375063224166188, 0.3184724906200123) DU=8 n=31
V2 t2 key=(0.36942560087868603, 0.7614664212679385) DU=8 n=35
V2 t1 key=(0.4705415610291365, 0.38345047439724317) DU=8 n=30
V1 t3 key=(0.8646294530094565, 0.20961787264074377) DU=8 n=29
V2 t5 key=(0.9202659801461515, 0.8778651444835504) DU=8 n=29
