Random Excursions (uygulanabilir dizi: 62/100, oran esigi 0.9521)
Test                          gecen   oran  p-dagilim  sonuc
RandomExcursions x=-4         62/62   1.000     0.5341  GECTI
RandomExcursions x=-3         61/62   0.984     0.3056  GECTI
RandomExcursions x=-2         61/62   0.984     0.4707  GECTI
RandomExcursions x=-1         61/62   0.984     0.4403  GECTI
RandomExcursions x=1          62/62   1.000     0.1294  GECTI
RandomExcursions x=2          62/62   1.000     0.8793  GECTI
RandomExcursions x=3          61/62   0.984     0.8535  GECTI
RandomExcursions x=4          61/62   0.984     0.0883  GECTI
RandExcVariant x=-9           62/62   1.000     0.0255  GECTI
RandExcVariant x=-8           61/62   0.984     0.7334  GECTI
RandExcVariant x=-7           60/62   0.968     0.5341  GECTI
RandExcVariant x=-6           61/62   0.984     0.6002  GECTI
RandExcVariant x=-5           62/62   1.000     0.0973  GECTI
RandExcVariant x=-4           62/62   1.000     0.5670  GECTI
RandExcVariant x=-3           62/62   1.000     0.3557  GECTI
RandExcVariant x=-2           61/62   0.984     0.7334  GECTI
RandExcVariant x=-1           62/62   1.000     0.7654  GECTI
RandExcVariant x=1            62/62   1.000     0.3300  GECTI
RandExcVariant x=2            61/62   0.984     0.7654  GECTI
RandExcVariant x=3            61/62   0.984     0.7963  GECTI
RandExcVariant x=4            61/62   0.984     0.8258  GECTI
RandExcVariant x=5            61/62   0.984     0.4109  GECTI
RandExcVariant x=6            62/62   1.000     0.6673  GECTI
RandExcVariant x=7            62/62   1.000     0.3056  GECTI
RandExcVariant x=8            62/62   1.000     0.6338  GECTI
RandExcVariant x=9            62/62   1.000     0.2400  GECTI

Genel: TUM DURUMLAR GECTI
