55 31 C0 8E 08 25 66 C3 2F FD B8 44 E3 62 99 7B
40 DF 83 29 11 F3 EE 50 BA 8B 56 4F AC 54 FB 4A
9C 1F 35 53 87 EA 2C C1 B5 94 98 0B 96 7D 20 D2
B2 F0 D6 36 EB 3D EC 7C 24 69 B9 F7 15 89 78 0E
64 9F 41 CD E1 79 C7 AD BD 48 1E E0 7E 59 6F 07
FC F8 45 C9 AA CB C2 A1 A4 8D 21 2B 74 A8 86 B0
A9 A0 D8 39 D7 ED 68 DA 84 77 1B E5 0C 91 E7 57
02 FE AE 2E DC 63 49 BE 58 DE 9B 46 5D 51 C4 E9
F2 1D 12 13 1A 33 28 70 D3 7A E4 6B 30 5F 2A D5
4B 0F DB 8F A2 5B 9A 6A E6 A3 1C 38 EF 06 61 92
FF 8A 90 D0 B4 5C 23 7F B3 AB 43 14 17 93 01 16
82 18 4D B1 B6 3F 0A C5 CF 6E 05 65 81 C6 F6 2D
3E C8 80 CA 34 3C 03 5A 72 D1 76 BC A5 27 8C 4E
4C 85 6D E2 FA 19 04 42 60 0D 6C 5E CC 00 97 D9
F1 9E AF 3B 47 09 67 B7 F4 A7 D4 9D 26 BF BB A6
95 CE F9 88 73 75 E8 DD 10 22 71 52 37 3A F5 32
