24 5C 6C CF F3 FA E2 19 5A 53 4B 47 C8 B0 57 FB
37 54 52 30 3D 56 F8 F2 8F C3 CD CA 14 D3 86 EB
77 70 3C BD 2B 26 A8 9D 6E 49 F0 E8 36 4C E5 AD
C2 64 E7 B3 1C 0D 5D EA CC 7A A0 C7 42 18 01 80
82 A9 20 DD BB F4 39 FC 9F EF D0 D6 58 33 9C 3A
02 E3 B8 4A 7F D1 07 1B B7 7E 66 4F F5 25 89 5E
1F 1E AA 65 35 6B EE 08 95 E6 51 90 B9 50 F1 A5
3E 16 EC D4 17 CB C0 87 C5 DC 1A 78 AB 05 2E D7
D2 C1 98 8A 74 59 DA 93 AF 27 B1 31 7D A1 41 84
4D B2 22 BC 81 D5 D8 7B 2F C9 76 5F 13 DF CE 8B
7C 8D 4E 0C 03 92 46 09 1D 44 0B FE B6 45 04 3F
C4 5B E9 AE 2A E4 F9 2C E0 68 97 96 43 8E 67 F6
34 23 BF D9 91 DB 8C 6F 63 94 38 BE A3 75 ED 69
C6 BA 10 85 61 62 B5 32 21 71 AC 55 06 9B 00 0F
DE 2D A2 28 99 29 F7 0A 9A 60 15 48 12 A6 A4 6A
E1 72 9E 6D 83 3B 11 0E FD 40 B4 79 88 FF 73 A7
